,From Bank,To Bank,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
3987,1120,1422,5743.83,US Dollar,5743.83,US Dollar,ACH,1
3988,15516,8720,4009.15,Euro,4009.15,Euro,ACH,0
3989,26,12,14046.04,Yuan,14046.04,Yuan,Credit Card,0
3990,153304,11337,8084.75,US Dollar,8084.75,US Dollar,ACH,1
3991,21414,11,9940.99,Euro,9940.99,Euro,ACH,1
3992,1394,21876,17000.44,Euro,17000.44,Euro,ACH,1
3993,11265,11265,101633.86,Rupee,1383.83,US Dollar,ACH,0
3994,1126,11495,2169.92,US Dollar,2169.92,US Dollar,ACH,1
3995,600,227006,315.8,Euro,315.8,Euro,Cheque,0
3996,70,54765,20.45,US Dollar,20.45,US Dollar,Cheque,1
3997,23642,23642,18356772.31,Rupee,18356772.31,Rupee,Reinvestment,0
3998,8,135417,593.64,UK Pound,593.64,UK Pound,Credit Card,0
3999,29,7,35680.48,UK Pound,35680.48,UK Pound,ACH,1
4000,12,12386,6426.7,Euro,6426.7,Euro,ACH,1
4001,11047,11047,18.56,US Dollar,18.56,US Dollar,Reinvestment,0
4002,8488,131636,9368.32,Euro,9368.32,Euro,ACH,1
4003,70,219788,200.06,US Dollar,200.06,US Dollar,Cheque,1
4004,0,1595,4629.53,Euro,4629.53,Euro,ACH,1
4005,254308,4790,136.0,US Dollar,136.0,US Dollar,Credit Card,0
4006,132021,24999,6.59,US Dollar,6.59,US Dollar,Credit Card,0
4007,1439,2860,138.63,US Dollar,138.63,US Dollar,ACH,1
4008,18076,116299,71.67,Euro,71.67,Euro,Cash,0
4009,224257,23642,673411.28,Rupee,673411.28,Rupee,Cheque,0
4010,70,31363,273.26,US Dollar,273.26,US Dollar,Credit Card,0
4011,1217,1,14751.47,US Dollar,14751.47,US Dollar,ACH,1
4012,223057,225862,1538.84,US Dollar,1538.84,US Dollar,ACH,1
4013,70,21393,1517.3,US Dollar,1517.3,US Dollar,Credit Card,1
4014,1807,224,3277.61,US Dollar,3277.61,US Dollar,ACH,1
4015,21260,1439,1589.34,US Dollar,1589.34,US Dollar,ACH,1
4016,20,2293,10839.19,Euro,10839.19,Euro,ACH,1
4017,11,1394,15812.41,US Dollar,15812.41,US Dollar,ACH,1
4018,1768,21414,14349.29,US Dollar,14349.29,US Dollar,ACH,1
4019,132300,232452,25327.72,Ruble,25327.72,Ruble,Cheque,0
4020,70,21444,428.93,Euro,428.93,Euro,Cheque,0
4021,23033,119699,260641.77,Rupee,260641.77,Rupee,ACH,1
4022,1291,1231,19543.64,US Dollar,19543.64,US Dollar,ACH,1
4023,22481,3440,8230.54,US Dollar,8230.54,US Dollar,ACH,1
4024,52860,155119,89125.72,Swiss Franc,89125.72,Swiss Franc,Cash,0
4025,11046,22547,687.03,US Dollar,687.03,US Dollar,Cheque,0
4026,17,235647,4382.79,Canadian Dollar,4382.79,Canadian Dollar,ACH,0
4027,19836,215620,120065.57,Yen,120065.57,Yen,Cheque,0
4028,3440,236259,1539.1,US Dollar,1539.1,US Dollar,Cheque,0
4029,245564,220188,2225.92,US Dollar,2225.92,US Dollar,ACH,1
4030,42838,112568,1281.75,US Dollar,1281.75,US Dollar,Cheque,0
4031,1595,44654,104.66,Euro,104.66,Euro,Cheque,0
4032,115,115,1773.13,Saudi Riyal,1773.13,Saudi Riyal,Credit Card,0
4033,150810,248739,20105.39,Brazil Real,20105.39,Brazil Real,ACH,1
4034,31373,221024,69.21,US Dollar,69.21,US Dollar,Credit Card,0
4035,14620,600,983.95,Euro,983.95,Euro,ACH,1
4036,117301,5617,65681.41,US Dollar,65681.41,US Dollar,Cheque,0
4037,7,7,26854.78,UK Pound,26854.78,UK Pound,Reinvestment,0
4038,228073,240201,1235.04,Euro,1235.04,Euro,ACH,1
4039,61799,68503,740.54,US Dollar,740.54,US Dollar,ACH,1
4040,217242,14652,10736.72,Euro,10736.72,Euro,ACH,1
4041,235647,237958,210208.1,Canadian Dollar,210208.1,Canadian Dollar,Cheque,0
4042,59157,257433,6080.08,Shekel,6080.08,Shekel,ACH,1
4043,27234,210472,51.39,US Dollar,51.39,US Dollar,Cheque,0
4044,14213,3671,473.13,Euro,473.13,Euro,Credit Card,0
4045,22595,10416,43093.78,US Dollar,43093.78,US Dollar,ACH,1
4046,70,1439,26848.63,US Dollar,26848.63,US Dollar,Credit Card,0
4047,21444,425,19325623.57,Euro,19325623.57,Euro,ACH,1
4048,125222,225848,274504.04,Rupee,274504.04,Rupee,ACH,1
4049,110,110,35.16,Australian Dollar,35.16,Australian Dollar,Reinvestment,0
4050,24643,218303,4124.74,Euro,4124.74,Euro,ACH,1
4051,158841,150020,1077.29,US Dollar,1077.29,US Dollar,ACH,1
4052,169261,74314,0.171978,Bitcoin,0.171978,Bitcoin,Bitcoin,0
4053,1639,12592,2894.22,US Dollar,2894.22,US Dollar,ACH,1
4054,7,29,87.45,UK Pound,87.45,UK Pound,Cheque,0
4055,21876,244413,171.92,Euro,171.92,Euro,Cheque,0
4056,425,425,62.66,US Dollar,53.47,Euro,ACH,0
4057,425,6681,2336.89,Euro,2336.89,Euro,ACH,1
4058,10073,5893,61232.9,Yuan,61232.9,Yuan,ACH,1
4059,24643,1277,11504.46,US Dollar,11504.46,US Dollar,ACH,1
4060,6058,3,692.43,Euro,692.43,Euro,Credit Card,0
4061,6971,244413,4037.2,Euro,4037.2,Euro,ACH,1
4062,19,41014,104053.98,Mexican Peso,104053.98,Mexican Peso,Credit Card,0
4063,53937,52788,274.35,Swiss Franc,274.35,Swiss Franc,ACH,1
4064,11770,2692,185311330.56,US Dollar,185311330.56,US Dollar,ACH,1
4065,169804,170412,6845.853136,Bitcoin,6845.853136,Bitcoin,Bitcoin,1
4066,70,30959,36780.18,Ruble,36780.18,Ruble,Credit Card,0
4067,1231,1291,23343.01,US Dollar,23343.01,US Dollar,Credit Card,0
4068,115,14,1148415.81,Shekel,1148415.81,Shekel,Wire,0
4069,15885,9530,2646105.04,Yuan,2646105.04,Yuan,Cheque,0
4070,7272,7272,15.33,Euro,15.33,Euro,Reinvestment,0
4071,211362,228073,654.53,Euro,654.53,Euro,Cheque,0
4072,8997,16739,547362.02,US Dollar,547362.02,US Dollar,ACH,1
4073,24455,14640,48189.95,Euro,48189.95,Euro,Wire,0
4074,3440,22124,4279.98,US Dollar,4279.98,US Dollar,ACH,1
4075,12063,16263,383.0,US Dollar,383.0,US Dollar,Cheque,0
4076,22185,237246,7686.07,US Dollar,7686.07,US Dollar,Cheque,0
4077,22086,6045,3123.15,US Dollar,3123.15,US Dollar,Cheque,0
4078,169309,169309,0.488974,Bitcoin,0.488974,Bitcoin,Bitcoin,0
4079,11255,11,3.8,US Dollar,3.8,US Dollar,Cash,0
4080,15640,25526,1589.14,US Dollar,1589.14,US Dollar,ACH,1
4081,70,21063,1797.68,US Dollar,1797.68,US Dollar,Credit Card,0
4082,220624,244000,82526.97,Euro,82526.97,Euro,Cheque,0
4083,20,20,21.11,Euro,21.11,Euro,Reinvestment,0
4084,70,211374,596.61,US Dollar,596.61,US Dollar,Credit Card,1
4085,2175,22224,1445.18,US Dollar,1445.18,US Dollar,ACH,1
4086,220916,220916,37.56,US Dollar,37.56,US Dollar,Reinvestment,0
4087,70,22129,2.98,US Dollar,2.98,US Dollar,Credit Card,1
4088,70,166448,904.44,US Dollar,904.44,US Dollar,Credit Card,1
4089,394,1120,2635.71,US Dollar,2635.71,US Dollar,Cash,0
4090,21939,224,1536.58,US Dollar,1536.58,US Dollar,ACH,1
4091,49700,48858,26264.42,Brazil Real,26264.42,Brazil Real,ACH,1
4092,1889,19182,1066.96,US Dollar,1066.96,US Dollar,ACH,0
4093,24027,25400,5375.05,Euro,5375.05,Euro,ACH,1
4094,27,18,1564811.63,Ruble,1564811.63,Ruble,Cash,0
4095,349,13821,45.39,US Dollar,45.39,US Dollar,Cash,0
4096,123260,123568,199959.84,Rupee,199959.84,Rupee,ACH,0
4097,224,1217,11714.46,US Dollar,11714.46,US Dollar,ACH,1
4098,11,0,3530.2,Euro,3530.2,Euro,ACH,1
4099,236190,236190,68929.26,Euro,68929.26,Euro,Reinvestment,0
4100,72,23642,9259.53,Rupee,9259.53,Rupee,Wire,0
4101,11968,18747,18.15,US Dollar,18.15,US Dollar,ACH,0
4102,42646,41335,446.6,Australian Dollar,446.6,Australian Dollar,ACH,1
4103,1390,12274,8467.44,Euro,8467.44,Euro,Cheque,0
4104,358321,14,1681.16,Shekel,1681.16,Shekel,Cheque,0
4105,15168,110265,2241647.49,Yuan,2241647.49,Yuan,Wire,0
4106,70,11,15.47,Euro,15.47,Euro,Cash,1
4107,41542,141204,2372.96,Australian Dollar,2372.96,Australian Dollar,Credit Card,0
4108,69521,268792,0.134984,Bitcoin,0.134984,Bitcoin,Bitcoin,1
4109,14,258799,12476.87,Shekel,12476.87,Shekel,ACH,1
4110,23319,23410,439.38,US Dollar,439.38,US Dollar,ACH,1
4111,215721,6809,84.08,US Dollar,84.08,US Dollar,Credit Card,0
4112,2514,425,1739.6,Euro,1739.6,Euro,ACH,1
4113,28560,22260,1159.08,Euro,1159.08,Euro,Credit Card,0
4114,215820,22693,0.5,Euro,0.5,Euro,Credit Card,0
4115,140981,215107,1416.46,US Dollar,1416.46,US Dollar,ACH,1
4116,4308,5981,100.44,Euro,100.44,Euro,ACH,1
4117,316083,316083,542.82,US Dollar,542.82,US Dollar,Reinvestment,0
4118,70,22224,5489.53,US Dollar,5489.53,US Dollar,Cheque,1
4119,12,132021,18527.49,US Dollar,18527.49,US Dollar,ACH,1
4120,254335,254335,43755.59,Euro,43755.59,Euro,Reinvestment,0
4121,14,3,2918.14,Euro,2918.14,Euro,ACH,1
4122,24029,2557,180.25,Euro,180.25,Euro,ACH,0
4123,224,11,1315.59,US Dollar,1315.59,US Dollar,ACH,1
4124,70,214342,391.22,US Dollar,391.22,US Dollar,Cheque,1
4125,13,113,1583.91,Mexican Peso,1583.91,Mexican Peso,Cheque,0
4126,70,53736,4210.41,Swiss Franc,4210.41,Swiss Franc,Credit Card,1
4127,20,1394,18.81,US Dollar,18.81,US Dollar,ACH,0
4128,20,0,6075.53,Euro,6075.53,Euro,ACH,1
4129,11047,11495,10873.85,US Dollar,10873.85,US Dollar,ACH,1
4130,130803,16739,11503.26,US Dollar,11503.26,US Dollar,ACH,1
4131,70,1110,624097.98,US Dollar,624097.98,US Dollar,Cash,0
4132,15,29779,52273.46,Yuan,52273.46,Yuan,Credit Card,0
4133,270010,269999,0.151855,Bitcoin,0.151855,Bitcoin,Bitcoin,1
4134,270290,71696,0.119156,Bitcoin,0.119156,Bitcoin,Bitcoin,1
4135,14,22264,79.7,Euro,79.7,Euro,Cash,0
4136,70,110400,14163.79,Yuan,14163.79,Yuan,Credit Card,0
4137,11314,13590,7556.29,Euro,7556.29,Euro,ACH,1
4138,1394,11,14907.98,US Dollar,14907.98,US Dollar,ACH,1
4139,1120,1,18981.2,US Dollar,18981.2,US Dollar,Cheque,0
4140,70,224574,263714.05,Rupee,263714.05,Rupee,Cheque,1
4141,241036,41348,4212.23,Australian Dollar,4212.23,Australian Dollar,ACH,1
4142,117301,14648,43968.35,US Dollar,43968.35,US Dollar,ACH,1
4143,70,21652,8337.39,Yen,8337.39,Yen,Cheque,1
4144,235676,135558,441.36,Canadian Dollar,441.36,Canadian Dollar,ACH,0
4145,2860,11495,3646.57,US Dollar,3646.57,US Dollar,Credit Card,0
4146,29592,115648,166034.52,Yen,166034.52,Yen,ACH,1
4147,164730,164730,1692.76,Saudi Riyal,1692.76,Saudi Riyal,ACH,1
4148,12274,11222,13207.15,US Dollar,13207.15,US Dollar,ACH,1
4149,70,214,0.575126,Bitcoin,0.575126,Bitcoin,Bitcoin,0
4150,9735,210812,27667.28,Yuan,27667.28,Yuan,ACH,1
4151,13856,39364,1705.59,Yuan,1705.59,Yuan,Cheque,0
4152,131036,19,201485.21,Ruble,201485.21,Ruble,ACH,1
4153,5436,3,40.03,Euro,40.03,Euro,Credit Card,0
4154,29592,215620,250899.61,Yen,250899.61,Yen,ACH,1
4155,70,164686,5464.09,Saudi Riyal,5464.09,Saudi Riyal,Credit Card,1
4156,21393,2557,14139.75,Euro,14139.75,Euro,ACH,1
4157,32212,70,3924.86,US Dollar,3924.86,US Dollar,Cash,0
4158,144308,24523,1213.75,US Dollar,1213.75,US Dollar,ACH,1
4159,113,14,30011.9,Mexican Peso,30011.9,Mexican Peso,Cheque,0
4160,13821,22595,2655.92,US Dollar,2655.92,US Dollar,ACH,1
4161,227600,224257,4480.99,Rupee,4480.99,Rupee,Credit Card,0
4162,70,1394,15935.79,US Dollar,15935.79,US Dollar,Cash,1
4163,12202,8720,3282.68,Euro,3282.68,Euro,ACH,1
4164,213504,112685,10788.34,Yuan,10788.34,Yuan,ACH,1
4165,21566,531,12904.36,US Dollar,12904.36,US Dollar,ACH,1
4166,69465,171316,0.531249,Bitcoin,0.531249,Bitcoin,Bitcoin,0
4167,217798,6314,383240.51,US Dollar,383240.51,US Dollar,Cash,0
4168,264152,268173,6491303.24,Saudi Riyal,6491303.24,Saudi Riyal,ACH,0
4169,11,1231,7215.2,US Dollar,7215.2,US Dollar,ACH,1
4170,27,230595,355742.75,Ruble,355742.75,Ruble,ACH,1
4171,117743,117743,561.11,Yen,561.11,Yen,Reinvestment,0
4172,1776,21566,17650.29,US Dollar,17650.29,US Dollar,ACH,1
4173,22547,11968,1634.94,US Dollar,1634.94,US Dollar,Cheque,0
4174,28665,5436,1521.05,Euro,1521.05,Euro,ACH,1
4175,24633,2368,301.39,US Dollar,301.39,US Dollar,Cheque,0
4176,70,215571,199.03,US Dollar,199.03,US Dollar,Cheque,1
4177,223762,5383,15.81,Euro,15.81,Euro,Credit Card,0
4178,21876,12055,1308.08,Euro,1308.08,Euro,Credit Card,0
4179,211,54525,6.83,Swiss Franc,6.83,Swiss Franc,Credit Card,0
4180,11,20,7761.02,US Dollar,7761.02,US Dollar,ACH,1
4181,70,148698,2553.85,Brazil Real,2553.85,Brazil Real,Cheque,1
4182,14172,16293,3860.58,Euro,3860.58,Euro,ACH,1
4183,266734,263186,16598.24,Saudi Riyal,16598.24,Saudi Riyal,ACH,1
4184,24027,114983,7.87,Euro,7.87,Euro,Cash,0
4185,11437,11437,81.6,Euro,81.6,Euro,Reinvestment,0
4186,24070,6829,389.38,Euro,389.38,Euro,Cheque,0
4187,11222,2175,11942.89,US Dollar,11942.89,US Dollar,ACH,1
4188,70,218604,1373.14,Euro,1373.14,Euro,Cheque,0
4189,41126,41019,53.79,Australian Dollar,53.79,Australian Dollar,ACH,0
4190,1231,25400,15046.1,Euro,15046.1,Euro,ACH,1
4191,9715,11222,57.98,US Dollar,57.98,US Dollar,Credit Card,0
4192,1422,229512,6200.43,US Dollar,6200.43,US Dollar,Cheque,0
4193,70,27967,998.35,US Dollar,998.35,US Dollar,Cheque,1
4194,132556,27,83029.96,Ruble,83029.96,Ruble,ACH,1
4195,14003,24027,1292.48,Euro,1292.48,Euro,Cheque,0
4196,221284,27234,24731.55,US Dollar,24731.55,US Dollar,ACH,1
4197,17768,7080,29478.94,Yuan,29478.94,Yuan,ACH,1
4198,49280,112568,2890.41,US Dollar,2890.41,US Dollar,ACH,1
4199,1277,12204,17853.97,US Dollar,17853.97,US Dollar,ACH,1
4200,27175,212996,8332.07,US Dollar,8332.07,US Dollar,ACH,1
4201,18,16,90545.52,Ruble,90545.52,Ruble,Cheque,0
4202,247976,5312,3119.99,Euro,3119.99,Euro,ACH,1
4203,1,21393,52.24,US Dollar,52.24,US Dollar,ACH,1
4204,28102,22890,2407.07,US Dollar,2407.07,US Dollar,ACH,1
4205,163470,18,106741317.47,Saudi Riyal,106741317.47,Saudi Riyal,ACH,1
4206,10,248623,248347.31,Brazil Real,248347.31,Brazil Real,ACH,1
4207,27009,28625,1530.35,US Dollar,1530.35,US Dollar,ACH,1
4208,212996,28932,306.79,US Dollar,306.79,US Dollar,Cheque,0
4209,215514,160797,166.14,US Dollar,166.14,US Dollar,Cheque,0
4210,141846,143477,475.29,Australian Dollar,475.29,Australian Dollar,Credit Card,0
4211,71696,71399,0.009936,Bitcoin,0.009936,Bitcoin,Bitcoin,1
4212,114909,110198,2913.37,Yuan,2913.37,Yuan,ACH,1
4213,158053,158927,7804.63,Shekel,7804.63,Shekel,ACH,1
4214,2860,1812,3321.53,US Dollar,3321.53,US Dollar,ACH,1
4215,224191,228147,1522.98,Euro,1522.98,Euro,ACH,1
4216,12,12307,1201.23,Yuan,1201.23,Yuan,ACH,1
4217,19325,19325,7994.12,US Dollar,7994.12,US Dollar,Reinvestment,0
4218,21444,14195,11779.89,Euro,11779.89,Euro,Credit Card,0
4219,24,33370,87.71,UK Pound,87.71,UK Pound,ACH,0
4220,17803,4894,8564.76,US Dollar,8564.76,US Dollar,Cheque,0
4221,137074,210472,667.53,US Dollar,667.53,US Dollar,ACH,1
4222,70,236872,2803.21,Euro,2803.21,Euro,Cheque,1
4223,20,12274,9105.7,Euro,9105.7,Euro,ACH,1
4224,20798,122416,1540.22,Euro,1540.22,Euro,ACH,1
4225,3,20,16630.76,US Dollar,16630.76,US Dollar,ACH,1
4226,38110,19419,427.4,Euro,427.4,Euro,Cheque,0
4227,70,273006,0.058556,Bitcoin,0.058556,Bitcoin,Bitcoin,1
4228,23410,5617,4369.46,US Dollar,4369.46,US Dollar,ACH,1
4229,135035,41215,299.11,US Dollar,299.11,US Dollar,Wire,0
4230,21876,6058,9378.82,Euro,9378.82,Euro,Wire,0
4231,0,349,19310.07,US Dollar,19310.07,US Dollar,ACH,1
4232,6314,18081,3385.08,US Dollar,3385.08,US Dollar,ACH,1
4233,212,40904,17644.49,Australian Dollar,17644.49,Australian Dollar,Credit Card,0
4234,123957,124359,287427.0,Rupee,287427.0,Rupee,ACH,1
4235,64057,63834,19977.81,Saudi Riyal,19977.81,Saudi Riyal,Cash,0
4236,169804,71657,0.233524,Bitcoin,0.233524,Bitcoin,Bitcoin,1
4237,218057,218057,7.17,US Dollar,7.17,US Dollar,Reinvestment,0
4238,11968,5394,7009.17,US Dollar,7009.17,US Dollar,ACH,1
4239,112876,15461,4835.82,Euro,4835.82,Euro,ACH,1
4240,316513,15680,1597.58,US Dollar,1597.58,US Dollar,ACH,0
4241,14648,21260,1638.57,US Dollar,1638.57,US Dollar,Credit Card,0
4242,264152,264152,1456.78,Saudi Riyal,1456.78,Saudi Riyal,Reinvestment,0
4243,216,264772,2104.38,Saudi Riyal,2104.38,Saudi Riyal,Cheque,0
4244,14,25400,15929.93,Euro,15929.93,Euro,Credit Card,0
4245,24778,3202,3523.08,US Dollar,3523.08,US Dollar,ACH,1
4246,1217,20,10530.92,US Dollar,10530.92,US Dollar,ACH,1
4247,23319,28625,228.38,US Dollar,228.38,US Dollar,Cheque,0
4248,112876,15109,301.62,Euro,301.62,Euro,Cash,0
4249,1812,134326,10975500.33,UK Pound,10975500.33,UK Pound,Cheque,0
4250,223113,124222,90.28,US Dollar,90.28,US Dollar,ACH,0
4251,256833,11661,9364.65,US Dollar,9364.65,US Dollar,ACH,1
4252,12,14,11918.46,Euro,11918.46,Euro,ACH,1
4253,12063,1291,1670.55,US Dollar,1670.55,US Dollar,Cheque,0
4254,3,170061,4160.16,Euro,4160.16,Euro,ACH,1
4255,21444,21444,3339.15,Euro,3339.15,Euro,Reinvestment,0
4256,19836,18283,580717.76,Yen,580717.76,Yen,Cheque,0
4257,70,14003,217.63,Euro,217.63,Euro,Credit Card,0
4258,71172,270010,0.070223,Bitcoin,0.070223,Bitcoin,Bitcoin,0
4259,70,17059,691.0,Euro,691.0,Euro,Credit Card,0
4260,169804,71356,0.117183,Bitcoin,0.117183,Bitcoin,Bitcoin,0
4261,129759,129759,49387.0,Euro,49387.0,Euro,Reinvestment,0
4262,14,7272,334.76,Euro,334.76,Euro,Cash,0
4263,246656,122788,4295.24,US Dollar,4295.24,US Dollar,ACH,1
4264,20,1835,734.43,Euro,734.43,Euro,Cheque,0
4265,4308,2557,72.63,Euro,72.63,Euro,Cheque,0
4266,127530,222433,1168.81,US Dollar,1168.81,US Dollar,ACH,1
4267,25400,1291,15210.54,US Dollar,15210.54,US Dollar,ACH,1
4268,41335,243063,8.3,Australian Dollar,8.3,Australian Dollar,Cash,0
4269,70,133530,48980.09,US Dollar,48980.09,US Dollar,Cash,0
4270,237391,237391,1462.93,Euro,1462.93,Euro,Reinvestment,0
4271,5082,29559,40.76,Euro,40.76,Euro,Credit Card,0
4272,15640,22890,3357.78,US Dollar,3357.78,US Dollar,ACH,1
4273,336141,336141,1959.59,Canadian Dollar,1959.59,Canadian Dollar,Reinvestment,0
4274,26,14,32996566.17,Rupee,32996566.17,Rupee,Cash,0
4275,215278,19836,256261.48,Yen,256261.48,Yen,ACH,1
4276,170972,244413,2600.49,Euro,2600.49,Euro,ACH,1
4277,70,27234,122.3,US Dollar,122.3,US Dollar,Cheque,1
4278,70,29264,4987.51,US Dollar,4987.51,US Dollar,Cheque,1
4279,11255,11255,155.27,US Dollar,155.27,US Dollar,Cheque,0
4280,70,22185,1152.97,US Dollar,1152.97,US Dollar,Cheque,0
4281,13474,13474,4038.13,US Dollar,4038.13,US Dollar,ACH,1
4282,21647,33296,15087.61,US Dollar,15087.61,US Dollar,Credit Card,0
4283,1768,131179,1949.57,Euro,1949.57,Euro,Cheque,0
4284,70,118314,9572.54,US Dollar,9572.54,US Dollar,Credit Card,0
4285,600,1217,1721.57,US Dollar,1721.57,US Dollar,ACH,1
4286,5383,5312,8343.1,Euro,8343.1,Euro,ACH,1
4287,211,112,2617.84,Swiss Franc,2617.84,Swiss Franc,ACH,1
4288,232857,232857,12.9,UK Pound,12.9,UK Pound,Reinvestment,0
4289,18624,18121,3853.7,Euro,3853.7,Euro,ACH,1
4290,11495,21260,974.55,US Dollar,974.55,US Dollar,Cheque,0
4291,11047,238579,1701.49,US Dollar,1701.49,US Dollar,Cheque,0
4292,1422,247408,77.07,US Dollar,77.07,US Dollar,Cheque,0
4293,263186,263186,78.99,Saudi Riyal,78.99,Saudi Riyal,Reinvestment,0
4294,211374,129050,202.43,US Dollar,202.43,US Dollar,ACH,1
4295,22026,19296,1318.82,Euro,1318.82,Euro,ACH,1
4296,24070,120229,34.72,Euro,34.72,Euro,Cheque,0
4297,263025,216,2677.08,Saudi Riyal,2677.08,Saudi Riyal,Cheque,0
4298,5855,16679,1471.44,US Dollar,1471.44,US Dollar,ACH,1
4299,1768,3,3.07,Euro,3.07,Euro,Credit Card,0
4300,70,216,5219.38,Saudi Riyal,5219.38,Saudi Riyal,Cheque,1
4301,169261,170412,0.241306,Bitcoin,0.241306,Bitcoin,Bitcoin,1
4302,11,20,24794.91,US Dollar,24794.91,US Dollar,ACH,1
4303,136136,235676,4596.22,Canadian Dollar,4596.22,Canadian Dollar,ACH,1
4304,14,14213,170.94,Euro,170.94,Euro,Cheque,0
4305,70,215,60072.48,Mexican Peso,60072.48,Mexican Peso,Cash,1
4306,42234,141465,1460.99,Australian Dollar,1460.99,Australian Dollar,ACH,1
4307,70,6971,18889.07,Euro,18889.07,Euro,Credit Card,1
4308,19413,124359,14117.92,Rupee,14117.92,Rupee,Cheque,0
4309,25,25,10523.53,UK Pound,10523.53,UK Pound,Reinvestment,0
4310,70,11046,199.85,US Dollar,199.85,US Dollar,Cheque,1
4311,425,20,13971.28,US Dollar,13971.28,US Dollar,ACH,1
4312,70,132849,17017.2,Ruble,17017.2,Ruble,Cheque,0
4313,12274,1835,18524.22,Euro,18524.22,Euro,ACH,1
4314,11,1595,3773.56,Euro,3773.56,Euro,ACH,1
4315,226937,223950,336680.84,Rupee,336680.84,Rupee,ACH,1
4316,8814,28932,1429.35,US Dollar,1429.35,US Dollar,ACH,1
4317,15284,17,983.87,Canadian Dollar,983.87,Canadian Dollar,Cash,0
4318,29640,23,7890.0,Yen,7890.0,Yen,Cheque,0
4319,169335,268792,0.074931,Bitcoin,0.074931,Bitcoin,Bitcoin,1
4320,11770,224,3863.8,US Dollar,3863.8,US Dollar,ACH,1
4321,144292,247758,23150.48,Euro,23150.48,Euro,ACH,1
4322,70,118293,327.54,Euro,327.54,Euro,Cheque,1
4323,70,221024,910.82,US Dollar,910.82,US Dollar,Cheque,0
4324,72351,72474,3.511833,Bitcoin,3.511833,Bitcoin,Bitcoin,1
4325,20,11,6401.65,US Dollar,6401.65,US Dollar,ACH,1
4326,118159,117286,137242.01,Yen,137242.01,Yen,ACH,1
4327,12202,114983,604229462.16,Euro,604229462.16,Euro,ACH,1
4328,70,12055,704.17,Euro,704.17,Euro,Cheque,1
4329,70,118871,603.6,Euro,603.6,Euro,Cheque,1
4330,11047,1120,19764.41,US Dollar,19764.41,US Dollar,ACH,1
4331,3,219815,1753.32,Euro,1753.32,Euro,Cheque,0
4332,70,124359,857827.23,Rupee,857827.23,Rupee,Cheque,1
4333,15516,133903,203.29,Euro,203.29,Euro,Cheque,0
4334,217242,7272,1474.93,Euro,1474.93,Euro,ACH,1
4335,70,10,56816.17,Brazil Real,56816.17,Brazil Real,Credit Card,1
4336,22661,25526,81779.42,Rupee,81779.42,Rupee,ACH,1
4337,11483,27009,38603.21,US Dollar,38603.21,US Dollar,ACH,0
4338,1394,1439,634.81,US Dollar,634.81,US Dollar,Cash,0
4339,70,133159,95.08,UK Pound,95.08,UK Pound,Cheque,0
4340,70,134598,899.02,UK Pound,899.02,UK Pound,Cheque,1
4341,69289,171669,0.086805,Bitcoin,0.086805,Bitcoin,Bitcoin,0
4342,219,152907,17900.35,Swiss Franc,17900.35,Swiss Franc,Cheque,0
4343,169309,171723,0.002853,Bitcoin,0.002853,Bitcoin,Bitcoin,0
4344,141846,19,498.71,Australian Dollar,498.71,Australian Dollar,Credit Card,0
4345,158053,258630,10968.35,Shekel,10968.35,Shekel,Cheque,0
4346,27,12066,1083902.89,Yuan,1083902.89,Yuan,Cheque,0
4347,1120,1595,1606.81,Euro,1606.81,Euro,ACH,1
4348,213,213,10.18,Shekel,10.18,Shekel,Reinvestment,0
4349,224371,123651,247330.26,Rupee,247330.26,Rupee,ACH,0
4350,12,498,1235.21,Euro,1235.21,Euro,ACH,1
4351,25788,215820,260.17,Euro,260.17,Euro,Credit Card,1
4352,346056,10881,268.26,Euro,268.26,Euro,Credit Card,0
4353,21260,122779,268.37,US Dollar,268.37,US Dollar,Credit Card,0
4354,21414,20,4857.24,Euro,4857.24,Euro,ACH,1
4355,70,10,39438.27,Brazil Real,39438.27,Brazil Real,Cheque,1
4356,1126,25634,3585.52,Euro,3585.52,Euro,ACH,1
4357,22264,129765,11.3,Euro,11.3,Euro,Credit Card,0
4358,12592,12592,24.68,US Dollar,24.68,US Dollar,Reinvestment,0
4359,70,135558,181.73,Canadian Dollar,181.73,Canadian Dollar,Cheque,1
4360,127345,110265,12025.65,Yuan,12025.65,Yuan,ACH,1
4361,70,228776,644.15,Euro,644.15,Euro,Cheque,1
4362,138415,39476,3836.59,Canadian Dollar,3836.59,Canadian Dollar,Cheque,0
4363,423,19419,68251.25,Euro,68251.25,Euro,Cheque,0
4364,349,14162,1673510.48,US Dollar,1673510.48,US Dollar,Cheque,0
4365,5082,6269,172386.15,Euro,172386.15,Euro,Cheque,0
4366,120364,22129,519.97,US Dollar,519.97,US Dollar,ACH,1
4367,70,237428,5345.63,Euro,5345.63,Euro,Cheque,1
4368,23539,224371,29025074.81,Rupee,29025074.81,Rupee,ACH,0
4369,246655,47529,197.47,US Dollar,197.47,US Dollar,ACH,1
4370,219054,18493,419.73,US Dollar,419.73,US Dollar,ACH,1
4371,11968,1231,13232.59,US Dollar,13232.59,US Dollar,ACH,1
4372,11046,213123,2597.29,US Dollar,2597.29,US Dollar,Cheque,0
